Respondent	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Degree	AssistYN	Assistantship	Hours	College
314	3	5	3	4	2	4	5	4	PhD	Yes	GRA	13	Franklin College of Arts and Sciences
315	5	5	5	5	2	5	5	5	PhD	Yes	GRA	15	College of Engineering
316	5	5	5	5	5	5	4	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
317	5	5	5	4	5	5	5	5	PhD	Yes	GRA	20	College of Engineering
318	5	5	5	4	3	5	5	5	PhD	Yes	GRA	14	Franklin College of Arts and Sciences
319	5	5	5	5	2	5	4	5	PhD	Yes	GRA	15	College of Engineering
320	5	5	5	4	5	5	3	5	PhD	Yes	GA	20	Other
321	5	5	4	4	3	5	5	5	PhD	Yes	GTA,GLA	18	Franklin College of Arts and Sciences
322	0	0	0	0	0	0	0	5	Masters	No			
323	3	3	3	4	4	5	5	5	Masters	Yes	GA	13	Grady College of Journalism and Mass Communication
324	3	5	5	3	5	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
325	2	2	2	2	2	5	5	5	Masters	Yes	GTA	19	Franklin College of Arts and Sciences
326	2	4	1	1	2	5	3	5	PhD	Yes	GRA	20	College of Public Health
327	5	5	5	5	4	5	5	5	PhD	Yes	GRA		College of Agricultural and Environmental Sciences
328	0	0	0	0	5	0	5	5	PhD	Yes	GRA	13	Mary Frances Early College of Education
329	3	1	3	2	4	5	1	3	Masters	Yes	GTA,GRFA	Unknown	Franklin College of Arts and Sciences
330	4	4	5	1	2	2	1	3	PhD	Yes	GRA	20	College of Agricultural and Environmental Sciences
331	1	5	5	5	1	5	1	5	PhD	Yes	GTA	20	Grady College of Journalism and Mass Communication
332	2	5	3	3	4	5	4	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
333	3	5	4	3	4	5	3	5	PhD	Yes	GTA,GRA	20	Mary Frances Early College of Education
334	5	5	5	5	5	5	5	5	PhD	Yes	GLA	20	Franklin College of Arts and Sciences
335	3	5	2	2	2	5	5	5	PhD	Yes	GA	18	Other
336	0	0	0	0	0	5	3	3	Masters	Yes	GTA	20	College of Engineering
337	5	5	5	5	1	5	5	5	Masters	Yes	GRA	16	College of Agricultural and Environmental Sciences
338	1	5	1	5	0	5	5	5	PhD	Yes	GRA	16	College of Agricultural and Environmental Sciences
339	1	4	1	1	4	5	3	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
340	5	5	5	2	3	5	4	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
341	5	5	5	3	5	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
342	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Unknown
343	1	3	1	2	2	5	1	5	Masters	Yes	GRA	20	College of Agricultural and Environmental Sciences
344	4	3	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Public Health
345	5	5	5	5	5	5	4	5	PhD	Yes	GRA	17	College of Agricultural and Environmental Sciences
346	2	3	2	1	3	4	4	5	Masters	Yes	GA	13	Terry College of Business
347	4	5	5	1	3	5	1	5	Masters	Yes	GRA	18	Warnell School of Forestry and Natural Resources
348	3	5	5	0	2	5	0	4	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
349	4	5	2	2	4	5	5	5	PhD	Yes	GTA,GLA,GRA	18	College of Veterinary Medicine
350	3	5	5	4	5	5	4	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
351	1	5	3	2	3	5	5	5	PhD	Yes	GTA,GRA	Unknown	Franklin College of Arts and Sciences
352	5	4	5	4	3	5	3	4	PhD	Yes	GTA,GRA	20	College of Veterinary Medicine
353	3	5	3	3	2	5	1	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
354	5	5	5	0	5	5	5	5	PhD	Yes	GTA		Franklin College of Arts and Sciences
355	5	5	5	5	5	5	5	5	Masters	Yes	GTA	13	Franklin College of Arts and Sciences
356	0	0	0	0	0	1	1	0	PhD	Yes	GTA	16	Franklin College of Arts and Sciences
357	5	5	5	2	1	5	5	2	Masters	Yes	GTA	16	College of Engineering
358	5	5	5	4	5	5	5	5	Masters	Yes	GA	13	Other
359	5	5	5	5	3	5	5	5	PhD	Yes	GRA,GA	20	Mary Frances Early College of Education
360	0	0	0	0	0	5	3	4	PhD	Yes	GTA,GRA	20	Mary Frances Early College of Education
361	3	3	3	1	2	5	5	2	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
362	5	5	5	5	5	5	1	5	PhD	Yes	GRA	20	College of Veterinary Medicine
363	0	5	0	0	0	5	1	5	PhD	Yes	GLA	20	Franklin College of Arts and Sciences
364	5	5	5	1	1	5	5	5	PhD	Yes	GRA	15	College of Agricultural and Environmental Sciences
365	1	1	1	1	1	5	4	5	PhD	Yes	GRA,GA	20	Warnell School of Forestry and Natural Resources
366	5	5	5	5	5	5	1	5	Masters	Yes	GRA	More than 20	Warnell School of Forestry and Natural Resources
367	1	1	1	1	1	5	3	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
368	1	1	1	1	0	5	3	5	Masters	Yes	GTA,GA	13	Grady College of Journalism and Mass Communication
369	5	5	5	5	5	5	5	5	Masters	Yes	GRA	20	College of Agricultural and Environmental Sciences
370	3	2	3	0	0	0	0	3	PhD	Yes	GRA	20	College of Veterinary Medicine
371	5	5	5	2	5	4	1	3	PhD	Yes	GRA	20	College of Veterinary Medicine
372	2	3	3	2	4	5	5	5	PhD	Yes	GRA	20	College of Public Health
373	5	5	5	3	3	5	3	5	Masters	Yes	GRA	14	School of Social Work
374	5	3	5	4	1	5	5	5	Masters	Yes	GRA	17	Franklin College of Arts and Sciences
375	3	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Other
376	5	5	5	4	5	5	3	5	Masters	Yes	GA	Less than 13	School of Public and International Affairs
377	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GRA	13	School of Public and International Affairs
378	5	5	5	5	5	5	5	5	Masters	Yes	GTA	17	Franklin College of Arts and Sciences
379	1	1	3	1	1	5	5	5	Masters	Yes	GRA	13	Franklin College of Arts and Sciences
380	5	5	3	3	5	5	5	5	Masters	Yes	GTA	17	Franklin College of Arts and Sciences
381	4	5	5	3	5	5	3	4	PhD	Yes	GTA,GA	20	Mary Frances Early College of Education
382	5	5	5	5	5	5	5	5	Professional degree	No			
383	5	5	5	4	5	5	3	5	PhD	Yes	GRA	20	College of Veterinary Medicine
384	5	4	5	4	4	5	5	5	Masters	Yes	GRA	17	College of Agricultural and Environmental Sciences
385	1	3	1	1	1	5	5	5	Masters	Yes	GRA	17	Franklin College of Arts and Sciences
386	4	4	3	5	4	5	5	5	PhD	No			
387	1	2	3	1	5	5	3	2	PhD	Yes	GTA,GRA	17	Franklin College of Arts and Sciences
388	5	4	5	3	4	5	5	5	PhD	Yes	GTA	17	Franklin College of Arts and Sciences
389	5	5	5	5	5	5	5	5	PhD	Yes	GTA,GLA,GA	20	Franklin College of Arts and Sciences
390	2	0	2	3	4	2	3	4	Masters	No			
391	4	3	4	5	5	5	5	5	Masters	No			
392	4	5	5	1	1	4	3	4	Masters	Yes	GRA	Less than 13	College of Environment and Design
393	5	5	5	2	4	5	5	5	PhD	Yes	GRA		Franklin College of Arts and Sciences
394	5	5	3	3	0	5	5	5	Masters	Yes	GTA	13	College of Environment and Design
395	5	5	5	2	4	5	5	5	Masters	Yes	GRA	13	School of Public and International Affairs
396	5	5	5	2	5	5	3	2	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
397	5	5	5	0	0	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
398	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
399	2	2	3	2	3	5	3	4	PhD	Yes	GTA,GRA	20	Mary Frances Early College of Education
400	1	5	1	1	4	5	1	5	PhD	Yes	GRA	18	Odum School of Ecology
401	2	5	4	2	2	4	2	4	PhD	Yes	GA	Unknown	Franklin College of Arts and Sciences
402	2	3	2	1	5	5	4	4	PhD	Yes	GTA,GRA,GRFA	20	Franklin College of Arts and Sciences
403	4	5	3	5	4	5	4	5	Masters	Yes	GRA	16	College of Engineering
404	4	5	5	5	4	5	1	5	PhD	Yes	GRA	19	College of Veterinary Medicine
405	3	5	5	5	4	5	4	5	PhD	Yes	GRA,GRFA	20	College of Veterinary Medicine
406	5	5	5	3	5	5	5	5	Masters	Yes	GRA	Unknown	College of Veterinary Medicine
407	5	4	4	5	1	5	3	3	PhD	Yes	GRA	20	College of Veterinary Medicine
408	3	5	4	4	4	5	5	4	PhD	Yes	GRA		College of Veterinary Medicine
409	4	5	4	5	5	5	4	5	Masters	Yes	GA	20	College of Veterinary Medicine
410	5	5	5	5	5	5	5	5	PhD	Yes	GRA	17	College of Engineering
411	4	4	4	3	3	5	5	5	PhD	Yes	GRA	16	College of Engineering
412	5	3	4	5	2	5	5	4	PhD	Yes	GTA	20	Franklin College of Arts and Sciences
413	5	5	5	4	3	3	2	3	Masters	Yes	GA	Unknown	College of Veterinary Medicine
414	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	College of Veterinary Medicine
415	5	5	5	5	5	5	5	5	PhD	Yes	GRA	More than 20	College of Veterinary Medicine
416	5	5	0	0	0	5	5	5	PhD	Yes	GRA	16	Franklin College of Arts and Sciences
417	2	4	3	3	5	5	5	5	Masters	Yes	GA	20	College of Veterinary Medicine
418	1	5	1	3	2	5	5	5	PhD	Yes	GRA	20	School of Public and International Affairs
419	2	2	2	2	2	5	5	5	Masters	Yes	GTA,GLA	18	Odum School of Ecology
420	5	5	5	5	5	5	5	5	PhD	Yes	GRA	Less than 13	Franklin College of Arts and Sciences
421	0	0	0	0	3	4	1	4	Masters	Yes			
422	5	5	5	4	1	5	4	5	PhD	Yes			
423	5	5	5	5	3	5	5	0	PhD	Yes			
424	5	5	5	5	5	5	5	5	PhD	Yes	GTA	20	College of Veterinary Medicine
425	4	5	3	3	5	5	5	5	PhD	Yes			
426	2	4	4	0	0	5	1	4	Masters	Yes	GRA	20	Unknown
427	4	5	2	4	0	5	5	3	PhD	Yes	GA	Less than 13	Mary Frances Early College of Education
428	1	3	2	3	5	5	5	5	PhD	Yes	GLA	20	Franklin College of Arts and Sciences
429	2	4	2	0	1	3	0	5	Masters	Yes	GRA	20	
430	0	0	0	5	5	5	5	5	Masters	Yes	GA	13	Terry College of Business
431	5	5	5	5	5	5	5	5	PhD	Yes	GRA	17	Franklin College of Arts and Sciences
432	5	5	5	5	5	5	5	0	PhD	Yes	GRA	20	College of Engineering
433	5	5	5	5	5	5	5	5	Masters	Yes	GRA		College of Veterinary Medicine
434	5	5	5	5	1	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
435	5	4	4	5	3	5	4	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
436	5	5	5	5	5	5	4	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
437	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Other
438	5	5	5	5	5	5	0	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
439	3	5	4	5	3	5	3	4	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
440	5	5	5	5	5	5	5	5	PhD	Yes	GRA	20	Franklin College of Arts and Sciences
441	3	5	2	5	2	5	3	5	PhD	Yes	GTA,GRA	13	Mary Frances Early College of Education
442	4	4	5	5	2	4	3	5	PhD	Yes	GRA	18	Franklin College of Arts and Sciences
443	5	5	5	5	1	5	4	5	PhD	Yes			
444	5	2	2	2	1	5	2	5	PhD	Yes	GRA	Unknown	Franklin College of Arts and Sciences
445	5	5	5	5	4	5	5	5					
446	4	5	4	3	5	5	3	5	PhD	Yes			
447	5	4	4	4	5	5	4	5	Masters	ExternalOther			
448	5	5	4	4	4	5	5	5	PhD	Yes	GTA	20	Mary Frances Early College of Education
449	5	5	5	5	5	5	5	5	PhD	Yes	GTA	18	Franklin College of Arts and Sciences
